Name,Price,Rating,Detail Link,Description
BYPILLOW Crosstown,€ 891,"Puntuación: 8,78,7",https://www.booking.com/hotel/es/crosstown-by-pillow.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApSY5bwGwAIB0gIkNjc3MmU3MmYtMjRhMi00NWVlLTgyYWEtOWYxNDhmMDdiZjk12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=f0df97344bc50160&srepoch=1738135942&all_sr_blocks=966209603_369110527_0_0_0&highlighted_blocks=966209603_369110527_0_0_0&matching_block_id=966209603_369110527_0_0_0&sr_pri_blocks=966209603_369110527_0_0_0__89082&from=searchresults,"BYPILLOW Crosstown es un alojamiento de 3 estrellas bien ubicado en Madrid, cerca de Plaza Mayor de Madrid y de Mercado de San Miguel. Este alojamiento se encuentra muy cerca de lugares de interés como Puerta del Sol, Puerta de Toledo y Museo Reina Sofía. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, mostrador de información turística y wifi gratis en todo el alojamiento.

En el hostal o pensión, todas las habitaciones cuentan con armario. Las habitaciones del alojamiento tienen baño privado con ducha y secador de pelo, además de TV de pantalla plana y aire acondicionado. Algunas de las habitaciones tienen terraza. En BYPILLOW Crosstown, cada habitación incluye ropa de cama y toallas.

Cerca del alojamiento hay puntos de interés como Estación de tren de Atocha, Royal Palace of Madrid y Estación de metro Gran Vía. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 14 km."
Only YOU Boutique Hotel Madrid,€ 1.818,"Puntuación: 9,39,3",https://www.booking.com/hotel/es/only-you-amp-lounge.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApSY5bwGwAIB0gIkNjc3MmU3MmYtMjRhMi00NWVlLTgyYWEtOWYxNDhmMDdiZjk12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=f0df97344bc50160&srepoch=1738135942&all_sr_blocks=59048804_88210262_0_2_0&highlighted_blocks=59048804_88210262_0_2_0&matching_block_id=59048804_88210262_0_2_0&sr_pri_blocks=59048804_88210262_0_2_0__181818&nad_id=8986f53a-6ace-4d31-826b-74ee7a615d3e_0&nad_cpc=1.28&nad_track=eyJhdWN0aW9uRXBvY2giOjE3MzgwOTk4MTc4NDcsInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoiWS83dWp0QUZDWFEra2V0Z0owYXNSWVZGSnh1NkNjaVdqd1pWNTlGdFJObjFpQTdhV3V3NFQrbVJVS3Q4NjQzN2ljdWQ3ZVZKd0ZaUDB2TGJrRnZOMjNRci9zK1FDRWNyMjhRd0RVMXdMU3pKck9qY1YyRGNvelErSXFSeUF5VnM4cVc2TE5lOVYvSGJSV3dFUTI3YXhkMDBwUHd0bStKWnI1c1RVRmg0Zm1WNmFiT21MNEQ1ZnRWZXAwQk0vSWE3QkF6S0pTL3AyMUJlL3RQTmdFSWVCemZxVlNsVUxYT053NjU4Wlg0Y1hNaXBienRRelBHTmYvckhJeGpmMXJQRkR6eWdiL1VFVnV1Q0hteEtldGlmckpnbVhTOENIT3NOa0VNc01xREZoT080L3VPUHkvZFo4OHhGTmwrMEdXQU84WkhGKzQ4MWRIVjZNaVNGRmExY0Mwb2JzT1l6NXI3Qlg5ZWNxNS8rK3VsdEZZUDBhZmpZTUV4QkhRamxXRlFqTTJZczFQS1d5cGlCTDhNTFdRcXpXNXRza2gveTd4TitPOTMyWEEzcVYrT3U4US84akpPS2dzdjZsd25xN0J5WkcxeDZFdVNRZDlyUURsekVLQWJIMTFQaFZvR0lwSStjT1I0cEhLSTRDZFpJL29nS2Q3clpleWF1L2JkdmNwMkdmMDkxcjcyalhHRVNtZm01NStackxmMDNCd3NYNWhxYUJibEdBd2NCdFVDL0lBd2JKdlJPVlZIaUxTT2ZpS2k3Mi9VYW1COXNpVVlMVDJJcUJKUG9EdUFOejFSclVUNlEzTk5hN25NNmgyRGRXdVlrdmhRWUwyYmVQM2IvZXViNEZVbXZnTDV6bmJvSzZTdm5oWSt6TE1FbFpGamlqVWMzR0d1d09TN2tsMGhHWi9hRlR6SUtLZVllckQrUWpyOWtCMlp3OVlxODJiRlNjYng1K0VuVkdSVEJMZEhpQlJ2bXFJY01OZVpFR1BPN2lieEFzQ0RHK21VWld0OFZLOHdpcnRuVlN1T0xBNlN4bVErOTZ1WU14bzh3VnpiRVNkM29MVG9QUmYxd1dsQjZzamtPaG9NUXIzVEl6TUFLbHRYN2lFaVh1Wm5mMzAva2JZb1cySGl6K3NYSDVxNG5VaXNZcGlTTHZMN3IvMjcyK2ttMmdKVXhLUUE2Zk10Z1JybC9VVmZ5Tmp2N3lpRldOZ0V6dlI4YStNaHVibzhJcm50N0prVUZDUFkyOHNGNHcxNGxWVlZyT0tsdmxVVWFqdXZJMmFoYjhTRXdUSDRnanUxODNzV0JNRXNTQjZ3UXAwNER3U1c2WkxyV2I3cEIwRkxwcGlPdkRCQUNTUXdRSllyTW1YcE9wS1Z6Z215TUgzTk5UbGNpSFZoeWVZVC9lU0ZBazhpbTcxeHh2VlArWE1yVHBncGFQRzF6NytvbW1Na3hXWll4ZkxmNWlwdHFmM2haSm5RcVdIYldYSC8rR09pWTl1N2dIRVIrc2Y3b0IzZzQ2eU9haUhSemcrY0lwMmtaSG16OUc3MDBjRnE5cE8vQWxQQ0tyK1NKbmZ5SEcxaVl3U0xINTZSS3BtSnpkN21qYWpQaWtOZTcwLzZPaU13cllRTkFqbVFjSE1VMG5XRUMzeGpjS1hWTi95eVh0M29CN0xFaXhtRkNYZzF1S1cwZTF6UlBWZUxRaTl4cU8yTXlHRGh2dGtjZ25mM3plSDlnWUJuT0ovTm1zVlp4am9KSmhBNUU2aG5nMTVzTm44TjliRHlZeG9UaVpYS01oVTRkeG02bWVhVHdxNTNUZkU0ZkZ3YWRmU1ZBZFBvL0xGRFowSGp0SUV5Q0RxSm5OcVBZVG1VSjNQLzhUMDVZUmxtamlWOFFFbTFhRGN1akdWdHdqSmpwcEIxVFA1c3llQzJHeEx5S1BNSWdURk5GQkNBdzE1UEZkSHM0bElnSVIweFRVSDF3Q1NmeTMrNWFZYngwVEpuK3JGR3RkSVBPVkljYVFGRTZSUHQ1SytaQ1g1R3FGZVkzVFhHMWVtd3FGaTBxNzgyZ0xSUXhzSW1ZWVk2amRNWDFHd0lSUzRmNlpPWFBWRzI2RVZaQmU0OWtoeGZVVk5VNXEyYXY4S1ZxMjNiYldwYmk0bDBLSVF6M1hnTHNkQlU4VzB0WE56UG9rZEU3cTJLbnlLN3pkNFUyNGczeDRHcGFMUUlsb3NqSThpbHh0V1JBbzdXK0NPUFRvTTNpOVlYU3h4WmY2VHBuRTRLV0ZjS3U3TS9BNHBod1hXSWxpNk5hbUFrWWRrM2ZnSEVxN2tjK0Q0NEhIWTVsbC9YajZCNjA0UHF3ekEvL0VoUlMzQnRFZjUwUGUzTEhNbjVUOEtxSjV1QlQzeE5NWVZaU0J6SW4zbTAxV05Oc3V0eVpRK0M4Y2tIZTI3VFhtMHFqcW5HMXNzK3VDVEpCWWpZRUFXRlZqeXhLVS95RkZudThLS3RWNmJIbkFCWEZHcXdVM00vMHMzVDVtK1F5WHRGUTNiRmFtb1N1WXp2N0tjTTRJRldiQjBOUGlLd2Q2NldYS25BMXQvd3NtMEkxWXc1MzE3eWtndjBmR09JNWZpMWxrV0p4SkZEWDN3M2o3UFdRWjJHYW9GSWlzdHZwcW90UmgrdklOdjRhMmVUbDVvS3lkRXNWeC9tY0EzQ1QvbmhFNk5kSytaUURMaC9YZWh0cWJWZ2VNcGo1NVZrMXRoUjF3Qi9hRXFWUXVYMDVqM3JkUm5xbWR1MHlPQ2p1MUUzY1AvQVVVSUNmRlJrb1V6Q2ZqTExZZ2xwLytLdzBOdnJRVmM2MUNFTEhVdEQxbkpJYXF5Z0xmYWRwUzFyZm8xYlBad0hraHRFck8wc0xZTWJ3ZmNJS0taYU5vanYyalUrVjZHdlBzc0oyNHUvR1c0Vlc0THlqT0pXN3d1ekJwRGhBMVVYMlh6Z0hxb2dkS05jTnRMMmlreDZzNzdPVlFydGlhTy94TXJSSjhTR3lhZGJsblVZSXAzcjBOT08ySSt3S3NIT3ZEOUQzMUI2Uk9oZXJZRXFCTUpHZjl2L0w1U3djSHJocWlteGEwT3BEZlpEdGdVemM5bHRxQ2E0V0xhU25uaGw4U05ZRCtuZEI0ZXRmcmhYc0dUZWhlcXplUnBLNUhFaVVPY2YweTBVS0NCL2JwN0RnWVdodWRBSm92eXJpTENLdTV0SE5JUnArM01jZlo0SkduTDRUNVdJamY0WTdhQUtMZURhVDFXVlZrYUhsTkNENjBPV2lNYkVTZE9UNkFqd0dOZk12L0NEZ0VtTDB0WnpKMXEvSWR2WjNWVUpyUU5nREtrS1FzUDZwUzF1WE4xQ09OMU5kMnhsOFNtNHVkdFIrTndUNkU3OFFpUi9lTUlnKyJ9&from=searchresults,"El Only You Boutique Hotel Madrid es un hotel boutique de 4 estrellas situado en un palacio restaurado del siglo XIX. Su diseño interior combina elementos modernos con detalles coloniales, creando un ambiente único y elegante en cada una de sus habitaciones decoradas de forma única.

La zona de salón del hotel ofrece un ambiente relajado y música de fondo suave, donde los huéspedes pueden disfrutar de una selección de cócteles y platos gourmet. El menú del día cambia regularmente y ofrece experiencias culinarias con ingredientes frescos y sabrosos.

Hay conexión wifi gratuita y servicio de habitaciones las 24 horas. El hotel cuenta con varios espacios y rincones, ideales para relajarse, disfrutar de un café o socializar con otros.

Las habitaciones están insonorizadas y equipadas con Smart TV de 42 pulgadas, soporte para iPhone/iPod y MP3, caja fuerte electrónica y minibar bien surtido. Los edredones de la cama están hechos de plumas de ganso, algodón y seda. El baño incluye albornoces suaves, zapatillas y artículos de aseo de lujo.

Este hotel de diseño está situado en el animado barrio de Salesas, a solo 20 minutos en coche del aeropuerto de Barajas y del centro de congresos IFEMA, por lo que es una opción ideal para una estancia excepcional en Madrid."
Hostal Flat55Madrid,€ 571,"Puntuación: 8,08,0",https://www.booking.com/hotel/es/flat5madrid.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApSY5bwGwAIB0gIkNjc3MmU3MmYtMjRhMi00NWVlLTgyYWEtOWYxNDhmMDdiZjk12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=f0df97344bc50160&srepoch=1738135942&all_sr_blocks=1226225_400383258_2_2_0&highlighted_blocks=1226225_400383258_2_2_0&matching_block_id=1226225_400383258_2_2_0&sr_pri_blocks=1226225_400383258_2_2_0__57072&from=searchresults,"Este luminoso y colorido hostal te permitirá disfrutar del ambiente animado y cosmopolita de Madrid. Se sirve el desayuno todos los días.

Las modernas habitaciones con aire acondicionado del hostal Hostal Flat55Madrid presentan un diseño elegante y contemporáneo que contribuye al ambiente joven de la propiedad. Las comodidades modernas incluyen televisores con reproductores de DVD. Algunos baños son compartidos y hay wifi en todo el establecimiento.

El Hostal Flat55Madrid se encuentra en el centro histórico de la ciudad, que data del siglo XIX, cerca de las calles comerciales más importantes que hay alrededor de Gran Vía y Fuencarral."
Hostal Adis,€ 869,"Puntuación: 8,48,4",https://www.booking.com/hotel/es/pensia3n-cartagenera.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApSY5bwGwAIB0gIkNjc3MmU3MmYtMjRhMi00NWVlLTgyYWEtOWYxNDhmMDdiZjk12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=f0df97344bc50160&srepoch=1738135942&all_sr_blocks=34678001_368906961_0_0_0&highlighted_blocks=34678001_368906961_0_0_0&matching_block_id=34678001_368906961_0_0_0&sr_pri_blocks=34678001_368906961_0_0_0__86855&from=searchresults,"El Hostal Adis se encuentra en el centro de Madrid, a solo 200 metros de Puerta del Sol. Hay recepción 24 horas y WiFi gratuita.

Las habitaciones tienen aire acondicionado, suelo de baldosa, calefacción, balcón, escritorio, TV de pantalla plana y baño privado con bañera y artículos de aseo.

En las inmediaciones hay multitud de tiendas, bares y restaurantes.

El Museo del Prado está a 10 minutos a pie."
ITC Infantas by Soho Boutique,€ 1.173,"Puntuación: 8,28,2",https://www.booking.com/hotel/es/lusso-infantas.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApSY5bwGwAIB0gIkNjc3MmU3MmYtMjRhMi00NWVlLTgyYWEtOWYxNDhmMDdiZjk12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=f0df97344bc50160&srepoch=1738135942&all_sr_blocks=9157803_330582568_2_2_0_522346&highlighted_blocks=9157803_330582568_2_2_0_522346&matching_block_id=9157803_330582568_2_2_0_522346&sr_pri_blocks=9157803_330582568_2_2_0_522346_117299&from=searchresults,"El ITC Infantas by Soho Boutique está ubicado en Madrid, a pocos metros de la Gran Vía, rodeado de los restaurantes y bares de la popular zona de Chueca. Ofrece WiFi gratuita en todas las instalaciones.

Las habitaciones de este encantador edificio del siglo XIX están equipadas con aire acondicionado, TV de pantalla plana, caja fuerte para ordenador portátil y baño grande con artículos de aseo. También hay una carta de almohadas y servicio de habitaciones 24 horas.

En la recepción 24 horas hay un mostrador de información turística con servicio de alquiler de coches y bicicletas e información sobre la zona. También se ofrece un ordenador de uso gratuito.

El ITC Infantas by Soho Boutique se encuentra a solo 500 metros de la Puerta del Sol y a 700 metros del Museo del Prado y del Museo Thyssen-Bornemisza. Las estaciones de metro Banco de España y Gran Vía quedan a unos 200 metros."
Hostal Castilla,€ 375,"Puntuación: 8,58,5",https://www.booking.com/hotel/es/hostal-castilla-madrid.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApSY5bwGwAIB0gIkNjc3MmU3MmYtMjRhMi00NWVlLTgyYWEtOWYxNDhmMDdiZjk12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=f0df97344bc50160&srepoch=1738135942&all_sr_blocks=53681104_186662624_0_0_0&highlighted_blocks=53681104_186662624_0_0_0&matching_block_id=53681104_186662624_0_0_0&sr_pri_blocks=53681104_186662624_0_0_0__37500&from=searchresults,"Hostal Castilla está en Madrid, a 14 min a pie de Museo Thyssen-Bornemisza y a 1,2 km de Gran Vía, y ofrece habitaciones con wifi gratis. El alojamiento se encuentra a 1,8 km de Parque de El Retiro, a 3,1 km de Templo de Debod y a 18 min a pie de Estación de metro Plaza de España. El alojamiento está a 12 min a pie de Estación de metro Gran Vía y a 1,2 km del centro de la ciudad.

En el hostal o pensión, cada habitación dispone de armario. En Hostal Castilla, las habitaciones cuentan con escritorio y TV de pantalla plana, y algunas también ofrecen balcón.

Cerca del alojamiento hay puntos de interés como Plaza Mayor de Madrid, Mercado de San Miguel y Puerta del Sol. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 12 km."
Hostal Fuentesol,€ 412,"Puntuación: 7,37,3",https://www.booking.com/hotel/es/hostal-fuentesol.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApSY5bwGwAIB0gIkNjc3MmU3MmYtMjRhMi00NWVlLTgyYWEtOWYxNDhmMDdiZjk12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=f0df97344bc50160&srepoch=1738135942&all_sr_blocks=26782004_390669979_0_0_0&highlighted_blocks=26782004_390669979_0_0_0&matching_block_id=26782004_390669979_0_0_0&sr_pri_blocks=26782004_390669979_0_0_0__41200&from=searchresults,"El Hostal Fuentesol se encuentra en el centro de Madrid, junto a la Puerta del Sol. Ofrece habitaciones con aire acondicionado, TV y baño privado. Hay conexión Wi-Fi gratuita en todo el establecimiento.

El Fuentesol ofrece recepción 24 horas. El mostrador de información turística puede proporcionar información sobre los alrededores.

El establecimiento se encuentra en una zona comercial, donde hay cines, restaurantes, bares y teatros.

La estación de metro Sol está a 100 metros del Fuentesol Hostal. El famoso Museo Thyssen Bornemisza y el Museo del Prado se encuentran a 10 minutos a pie."
Bellas Artes en Madrid,€ 1.449,"Puntuación: 7,97,9",https://www.booking.com/hotel/es/mit-house-bellas-artes-en-madrid.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApSY5bwGwAIB0gIkNjc3MmU3MmYtMjRhMi00NWVlLTgyYWEtOWYxNDhmMDdiZjk12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=f0df97344bc50160&srepoch=1738135942&all_sr_blocks=887007911_358327517_4_0_0&highlighted_blocks=887007911_358327517_4_0_0&matching_block_id=887007911_358327517_4_0_0&sr_pri_blocks=887007911_358327517_4_0_0__144889&from=searchresults,"Bellas Artes en Madrid ofrece alojamiento con wifi gratis, cocina, nevera, lavavajillas y horno a 600 metros del centro de Madrid.

Cada unidad tiene baño privado, ducha, aire acondicionado, TV y microondas.

Cerca del alojamiento hay puntos de interés como Museo Thyssen-Bornemisza, Estación de metro Gran Vía y Parque de El Retiro. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 12 km."
Apartamentos Day Madrid GRAN VIA Centro Sol Malasaña,€ 951,"Puntuación: 6,36,3",https://www.booking.com/hotel/es/apartamentos-gran-via-madrid.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApSY5bwGwAIB0gIkNjc3MmU3MmYtMjRhMi00NWVlLTgyYWEtOWYxNDhmMDdiZjk12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=f0df97344bc50160&srepoch=1738135942&all_sr_blocks=124551720_402772058_4_0_0&highlighted_blocks=124551720_402772058_4_0_0&matching_block_id=124551720_402772058_4_0_0&sr_pri_blocks=124551720_402772058_4_0_0__95076&from=searchresults,"Los Apartamentos Day Madrid GRAN VIA Centro Sol Malasaña son un alojamiento independiente con conexión WiFi gratuita situado en Madrid. El establecimiento se encuentra a 200 metros del Callao y de Santo Domingo.

El apartamento dispone de TV y aire acondicionado. También incluye cocina completa con microondas y horno y baño con ducha y secador de pelo.

A 5 minutos a pie del apartamento hay numerosos bares y restaurantes.

La plaza del Sol está a 10 minutos a pie y el aeropuerto Adolfo Suárez Madrid-Barajas, a 13 km."
"Casa de las Artes, member of Meliá Collection",€ 1.717,"Puntuación: 8,88,8",https://www.booking.com/hotel/es/casa-de-las-artes-member-of-melia-collection.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApSY5bwGwAIB0gIkNjc3MmU3MmYtMjRhMi00NWVlLTgyYWEtOWYxNDhmMDdiZjk12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=f0df97344bc50160&srepoch=1738135942&all_sr_blocks=9165102_395835822_2_2_0&highlighted_blocks=9165102_395835822_2_2_0&matching_block_id=9165102_395835822_2_2_0&sr_pri_blocks=9165102_395835822_2_2_0__171700&from_sustainable_property_sr=1&from=searchresults,"La Casa de las Artes, member of The Meliá Collection se encuentra en el histórico Barrio de las Letras de Madrid y se ha renovado recientemente para rendir homenaje a las siete bellas artes. Este encantador hotel alberga el cine Miró, una biblioteca y una barra de barre en el gimnasio.

La piscina termal con sauna es un auténtico oasis de calma en medio de la bulliciosa ciudad de Madrid. Se trata de un creativo lugar idílico para descansar y relajar mente y cuerpo.

Las habitaciones disponen de baño privado. Algunas tienen terraza y otras vistas a la ciudad.

Situado a unos 10 minutos a pie de la Puerta del Sol, la plaza Mayor y la plaza de Santa Ana, el hotel está justo al lado de la estación de metro Antón Martín y a 7 minutos del parque del Retiro y del Museo del Prado. También están cerca el Museo Reina Sofía y el Museo Thyssen-Bornemisza. A solo 16 km del aeropuerto de Madrid, la Casa de las Artes ofrece fácil acceso a todas las maravillas de la ciudad.

El restaurante del hotel sirve un delicioso desayuno buffet y a la carta. El restaurante Mache (del francés “papier mâché”, que significa “masticado”) ofrece una fusión de cocina internacional y local inspirada en el mundo artístico. Se ofrece una experiencia gastronómica innovadora en un ambiente moderno y original, además de cócteles de autor."
Hostal Macarena,€ 606,"Puntuación: 8,48,4",https://www.booking.com/hotel/es/hostal-macarena.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApSY5bwGwAIB0gIkNjc3MmU3MmYtMjRhMi00NWVlLTgyYWEtOWYxNDhmMDdiZjk12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=f0df97344bc50160&srepoch=1738135942&all_sr_blocks=48279002_372583563_0_0_0&highlighted_blocks=48279002_372583563_0_0_0&matching_block_id=48279002_372583563_0_0_0&sr_pri_blocks=48279002_372583563_0_0_0__60600&from=searchresults,"El Hostal Macarena goza de una ubicación ideal en pleno centro de Madrid, en la Plaza Mayor, enfrente del arco de Cuchilleros. La Puerta del Sol está a 5 minutos a pie.

El establecimiento cuenta con recepción 24 horas, conexión WiFi gratuita en todas las instalaciones, zona de estar con sillones y máquina expendedora de bebidas.

Las habitaciones están bien equipadas y han sido renovadas en 2015. Todas disponen de aire acondicionado, caja fuerte, TV y baño privado con secador de pelo y artículos de aseo gratuitos. Algunas tienen balcón con vistas a la ciudad.

En las inmediaciones hay multitud de tiendas, bares y restaurantes. La calle Mayor está a 170 metros, mientras que la estación de tren y metro de Puerta del Sol se encuentra a 650 metros."
"CAMILA, en CHUECA",€ 663,"Puntuación: 7,07,0",https://www.booking.com/hotel/es/camila-en-chueca.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApSY5bwGwAIB0gIkNjc3MmU3MmYtMjRhMi00NWVlLTgyYWEtOWYxNDhmMDdiZjk12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=f0df97344bc50160&srepoch=1738135942&all_sr_blocks=627835401_404604648_2_0_0&highlighted_blocks=627835401_404604648_2_0_0&matching_block_id=627835401_404604648_2_0_0&sr_pri_blocks=627835401_404604648_2_0_0__66287&from=searchresults,"CAMILA, en CHUECA está en el centro de Madrid, a 4 min a pie de Estación de metro Gran Vía y a 500 metros de Gran Vía, y ofrece wifi gratis. Este apartamento está a 14 min a pie de Estación de metro Plaza de España y a 1,2 km de Plaza Mayor de Madrid.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

Cerca del alojamiento hay puntos de interés como Museo Thyssen-Bornemisza, Parque de El Retiro y Templo de Debod. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 12 km."
MyHouseSpain - Fuencarral and Gran Vía,€ 408,"Puntuación: 6,86,8",https://www.booking.com/hotel/es/mhm-apartments-fuencarral-and-gran-via-madrid.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApSY5bwGwAIB0gIkNjc3MmU3MmYtMjRhMi00NWVlLTgyYWEtOWYxNDhmMDdiZjk12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-07&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=f0df97344bc50160&srepoch=1738135942&all_sr_blocks=923419205_372409687_0_0_0&highlighted_blocks=923419205_372409687_0_0_0&matching_block_id=923419205_372409687_0_0_0&sr_pri_blocks=923419205_372409687_0_0_0__40812&from=searchresults,"MyHouseSpain - Fuencarral and Gran Vía ofrece alojamiento con aire acondicionado en el centro de Madrid, a 2 min a pie de Estación de metro Gran Vía, a 1 km de Museo Thyssen-Bornemisza y a 3 min a pie de Gran Vía. Se ofrece wifi gratis.

Algunas unidades incluyen balcón y/o patio.

Cerca del alojamiento hay puntos de interés como Museo Reina Sofía, Estación de metro Plaza de España y Templo de Debod. El aeropuerto más cercano (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 12 km del alojamiento."
